Участок 45сот. (промназначения),371111,4.0,"Тюменская обл., Тюменский р-н, д. Субботина, Новая ул., 9",2024-04-03 18:19:00,https://www.avito.ru/tyumen/zemelnye_uchastki/uchastok_45_sot._promnaznacheniya_3657210637,0,avito,Не указан,{'https://90.img.avito.st/image/1/1.0aUOJLa5fUw4jb9JIDfd6AWGf0qwhf9EeIB_TryReU4.ADhxTcPpBMRThyGoYs-CL_UKr-MgIRn9quAi9RWOCxM'}
"Участок 1,2га (промназначения)",16667,12.0,"Тюменская обл., Тюменский р-н, пос. Андреевский",2024-04-06 20:27:00,https://www.avito.ru/tyumen/zemelnye_uchastki/uchastok_45_sot._promnaznacheniya_3901123679,1,avito,Не указан,{'https://60.img.avito.st/image/1/1.4iLGOba5TsvwkIzOjkq9T7mbTM14mMzDsJ1MyXSMSsk.ife3qWlR9-hIeezA5P0rfTY4AJ3txQPjmjAeatqJJ08'}
"Участок 9,7сот. (промназначения)",257732,9.0,"Тюменская обл., Тюменский р-н, с. Перевалово, коттеджный пос. Зубаревские Просторы",2024-03-06 19:08:00,https://www.avito.ru/tyumen/zemelnye_uchastki/uchastok_57_sot._promnaznacheniya_3766847603,2,avito,Не указан,{'https://20.img.avito.st/image/1/1.J8A-G7a5iykIskksfBsgoQy5iS-AugkhSL-JK4yujys.OOIVXdWpLhQ4rZM_EfKRXsOPr3cubMuzIpIgCA-Zb7o'}
"Участок 1,32га (промназначения)",900000,13.0,"Тюменская обл., Тюмень, Авторемонтная ул., 18/15",2024-03-01 12:13:00,https://www.avito.ru/tyumen/zemelnye_uchastki/uchastok_124_sot._promnaznacheniya_3760942845,3,avito,72:23:0215002:460,{'https://40.img.avito.st/image/1/1.qe_gfba5BQbW1McDvh-Li_3fBwBe3IcOltkHBFLIAQQ.fKzzsQn7AB9e8P339FNcS91_LDg8sh725mVa6LZsYWU'}
"Участок 23,7сот. (промназначения)",2278481,23.0,"Тюменская обл., Тюмень, ул. Судостроителей",2024-03-01 12:19:00,https://www.avito.ru/tyumen/zemelnye_uchastki/uchastok_328_sot._promnaznacheniya_2338452341,5,avito,Не указан,{'https://70.img.avito.st/image/1/1.uppkiba5FnNSINR2HMPI7G0rFHXaKJR7Ei0UcdY8EnE.D6UYtFlg9s11YpXhXaytzFDTyJQLaAyPeksgEkiQUNI'}
Участок 50сот. (промназначения),72000,5.0,"Тюменская обл., Тюмень, Велижанский тракт, 7-й километр",2024-03-08 14:16:00,https://www.avito.ru/tyumen/zemelnye_uchastki/uchastok_100_sot._promnaznacheniya_2033708509,6,avito,Не указан,{'https://70.img.avito.st/image/1/1.ZjHbbba5ytjtxAjdmwxSeKjPyN5lzEjQrcnI2mnYzto.OwNh_u9wW-lKPvkjfsa30g_e687qJjiiYESh83MxYug'}
"Участок 1,01га (промназначения)",161386,10.0,"Тюменская обл., Тюмень, Ленинский округ",2024-03-06 11:20:00,https://www.avito.ru/tyumen/zemelnye_uchastki/uchastok_216_sot._promnaznacheniya_3825474764,7,avito,Не указан,{'https://30.img.avito.st/image/1/1.n8rSHba5MyPktPEm4Dfq5dq_MSVsvLErpLkxIWCoNyE.S-SZRG5H1uRLb1gvrD5t9Cb2ZZlMEUOC2HmyxGtbgNQ'}
Участок 26сот. (промназначения),1346154,2.0,"Тюмень, Калининский округ",2024-04-26,https://www.avito.ru/tyumen/zemelnye_uchastki/uchastok_99_sot._promnaznacheniya_2114009430,8,avito,Не указан,{'https://40.img.avito.st/image/1/1.mBrez7a6NPPoZvb24p3SAgJsMvlq7Dwxb2w29X5qNg.J4eTMCmFG0UeNYEcBc1BVLeoZllIfWcdSZAi1QTxHOU'}
"Участок 6,2га (промназначения)",38710,62.0,"Свердловская железная дорога, обгонный пункт Подъем",2024-03-01 18:09:00,https://www.avito.ru/tyumen/zemelnye_uchastki/uchastok_12_ga_promnaznacheniya_3857325638,9,avito,Не указан,{'https://90.img.avito.st/image/1/1.w9EDTra6bzg15609CU3qg_ztaTK3bWf6su1tPqPrbQ.F2GJHtFttA179zE_ZcnMbSAjlT_LMtxx_qBgP4QWTXE'}
Участок 50сот. (промназначения),150000,5.0,"Тюменская обл., Тюмень, Велижанский тракт, 7-й километр",2024-04-26,https://www.avito.ru/tyumen/zemelnye_uchastki/uchastok_118_ga_promnaznacheniya_3934462894,11,avito,Не указан,{'https://00.img.avito.st/image/1/1.2or-vra5dmPIF7RmxrGz5vYcdGVAH_RriBp0YUwLcmE.h1GXEgXDL69sf_T1kHBsGeXb7taO-EeAzyT68HEKLlU'}
